Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-27,2015,1,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,04,2015-04,202.97,204.12,201.74,202.74,134044600.0,181.12,-0.013190532678377664,181.4235714285714,181.3047058823529
2015-01-28,2015,1,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,04,2015-04,204.17,204.29,199.91,200.14,168514300.0,178.8,-0.01282447452990465,181.285,181.16555555555553
2015-01-29,2015,1,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,04,2015-04,200.38,202.3,198.68,201.99,173585400.0,180.45,0.009243706013008834,181.035,181.12789473684208
2015-01-30,2015,1,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,04,2015-04,200.57,202.17,199.13,199.45,197729700.0,178.18,-0.012574953744366235,180.72857142857143,180.98049999999995
2015-02-02,2015,2,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,05,2015-05,200.05,202.03,197.86,201.92,163107000.0,180.39,0.012384077502090696,180.68214285714285,180.9523809523809
2015-02-03,2015,2,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,05,2015-05,203.0,204.85,202.55,204.84,124212900.0,183.0,0.014461139831507763,180.8585714285714,181.0454545454545
2015-02-04,2015,2,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,05,2015-05,203.92,205.38,203.51,204.06,134306700.0,182.3,-0.003807808362686571,181.06285714285713,181.09999999999997
2015-02-05,2015,2,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,05,2015-05,204.86,206.3,204.77,206.12,97953200.0,184.14,0.010095150201455239,181.51571428571424,181.22666666666666
2015-02-06,2015,2,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,05,2015-05,206.56,207.24,204.92,205.55,125672000.0,183.63,-0.0027653456089531403,181.76571428571424,181.3228
2015-02-09,2015,2,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,06,2015-06,204.77,205.64,204.14,204.63,87219000.0,182.81,-0.004475942990515902,181.92999999999998,181.38
