Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2017-03-10,2017,3,10,Friday,10,2017-10,70.0,70.36,69.8,70.1,7098800.0,64.72,0.003435510311794676,64.93071428571427,62.948600000000006,green
2017-03-13,2017,3,13,Monday,11,2017-11,69.99,70.45,69.71,69.95,6802500.0,64.58,-0.002139547790365848,64.86571428571428,62.969800000000006,red
2017-03-14,2017,3,14,Tuesday,11,2017-11,70.82,71.21,70.72,70.72,9958400.0,65.29,0.011007506127324262,64.83499999999998,63.00600000000002,red
2017-03-15,2017,3,15,Wednesday,11,2017-11,70.5,70.7,70.02,70.58,8813800.0,65.16,-0.001979404610517044,64.82071428571426,63.04220000000001,red
2017-03-16,2017,3,16,Thursday,11,2017-11,70.11,70.7,70.07,70.44,7061000.0,65.03,-0.001983564583338482,64.72642857142854,63.08420000000002,red
2017-03-17,2017,3,17,Friday,11,2017-11,70.58,70.75,69.81,69.89,14078400.0,64.53,-0.007808197017284969,64.63928571428569,63.108800000000016,red
2017-03-20,2017,3,20,Monday,12,2017-12,70.14,70.45,69.71,69.98,7466200.0,64.61,0.0012875859218264285,64.61071428571425,63.13240000000002,red
2017-03-21,2017,3,21,Tuesday,12,2017-12,70.17,70.4,69.69,69.9,8746800.0,64.54,-0.0011430490455421882,64.6085714285714,63.17200000000002,red
2017-03-22,2017,3,22,Wednesday,12,2017-12,70.03,70.34,69.72,70.25,6455600.0,64.86,0.005007035195364606,64.60928571428568,63.20980000000003,red
2017-03-23,2017,3,23,Thursday,12,2017-12,70.2,70.31,69.75,69.86,6898800.0,64.5,-0.005551535232692807,64.63214285714282,63.24920000000003,red
2017-03-24,2017,3,24,Friday,12,2017-12,69.99,70.17,69.53,69.61,5859000.0,64.27,-0.0035786368603855094,64.6478571428571,63.27840000000002,red
2017-03-27,2017,3,27,Monday,13,2017-13,69.52,70.07,69.36,69.66,5792600.0,64.31,0.0007185590641187732,64.66714285714282,63.31860000000002,green
2017-03-28,2017,3,28,Tuesday,13,2017-13,69.33,70.37,69.33,70.32,7252200.0,64.92,0.009474420440871212,64.70142857142854,63.386400000000016,green
2017-03-29,2017,3,29,Wednesday,13,2017-13,70.35,71.18,70.31,70.74,6991000.0,65.31,0.005972814159425077,64.75928571428567,63.438400000000016,green
2017-03-30,2017,3,30,Thursday,13,2017-13,70.69,71.72,70.64,71.59,8141500.0,66.1,0.01201546489238825,64.8578571428571,63.51200000000002,green
2017-03-31,2017,3,31,Friday,13,2017-13,71.32,72.56,71.23,72.08,9939800.0,66.55,0.0068448797875202425,64.99857142857138,63.60340000000002,green
